Company,Ticker,Strengths,Risks,PE,EPS,ROE,DebtEquity,RevenueGrowth,Score,Recommendation
Bhagiradha Chemicals & Industries Limited,BHAGCHEM.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",246.39784,0.93,0.01852,27.379,0.351,-3,SELL
Bhageria Industries Limited,BHAGERIA.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']",15.660103,11.68,0.088690005,12.876,0.583,-2,SELL
Bhagyanagar India Limited,BHAGYANGR.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],17.878647,8.57,0.12896,162.99,0.422,-1,SELL
Bhandari Hosiery Exports Limited,BHANDARI.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']",11.705882,0.34,0.054180004,64.953,0.002,-1,SELL
Bharat Forge Limited,BHARATFORG.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",63.80027,22.63,0.13017,71.382,0.093,-3,SELL
Bharat Gears Limited,BHARATGEAR.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",555.4211,0.19,0.00235,64.485,0.244,-3,SELL
Bharat Rasayan Limited,BHARATRAS.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",28.674728,80.21,0.117819995,7.556,-0.128,-3,SELL
Bharat Seats Limited,BHARATSE.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],29.38715,6.07,0.19917,63.95,0.578,-1,SELL
Bharat Wire Ropes Limited,BHARATWIRE.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']",16.72243,10.7,0.099259995,13.182,0.081,-3,SELL
Bharti Airtel Limited,BHARTIARTL.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",32.71795,64.35,0.33018002,129.719,0.257,0,SELL
Bharti Hexacom Limited,BHARTIHEXA.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",59.19689,30.88,0.26943,105.803,0.105,0,SELL
Bharat Heavy Electricals Limited,BHEL.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",174.84473,1.61,0.02299,44.956,0.141,-3,SELL
Bigbloc Construction Limited,BIGBLOC.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-0.09,-0.05691,140.107,0.303,-2,SELL
Bikaji Foods International Limited,BIKAJI.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",87.85464,8.53,0.14022,19.446,0.151,-2,SELL
Bhartiya International Limited,BIL.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",33.034206,22.51,0.06491,104.25,0.35,-3,SELL
BIL VYAPAR LIMITED,BILVYAPAR.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']",,-0.73,,,,0,SELL
Biocon Limited,BIOCON.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",99.3593,3.98,0.025510002,50.024,0.196,-3,SELL
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM.NS,"['Fair valuation', 'Average profitability', 'Low debt', 'Strong revenue growth']",[],19.33143,1.75,0.144,0.094,4.601,2,HOLD
Birla Cable Limited,BIRLACABLE.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",82.76048,1.67,0.01881,41.628,-0.031,-5,SELL
Birla Corporation Limited,BIRLACORPN.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']",16.655834,64.62,0.070700005,44.718,0.13,-2,SELL
Aditya Birla Money Limited,BIRLAMONEY.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']",14.380858,10.03,0.23936,658.075,-0.211,1,SELL
BirlaNu Limited,BIRLANU.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-138.39,-0.085,88.333,0.046,-3,SELL
BLACKBUCK LIMITED,BLACKBUCK.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",39.852676,16.63,0.35064,3.633,0.53,0,SELL
BEML Land Assets Limited,BLAL.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']",,-1.0,,,,0,SELL
BLB Limited,BLBLIMITED.NS,"['Low valuation', 'Average profitability', 'Low debt', 'Strong revenue growth']",['Stock appears undervalued'],5.927966,2.36,0.11095,0.17,0.995,4,BUY
Bliss GVS Pharma Limited,BLISSGVS.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],16.171677,10.31,0.10414,4.493,0.123,-1,SELL
B. L. Kashyap and Sons Limited,BLKASHYAP.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",5020.0,0.01,0.00014999999,58.747,0.329,-3,SELL
BLS International Services Limited,BLS.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk'],21.916496,14.61,0.31094,16.545,0.488,1,SELL
BLS E-Services Limited,BLSE.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",33.593548,6.2,0.13281,1.361,2.496,-2,SELL
Blue Coast Hotels Limited,BLUECOAST.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']",,-7.35,,,,0,SELL
Blue Dart Express Limited,BLUEDART.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",48.572193,112.06,0.17432,66.24,0.07,-3,SELL
Blue Jet Healthcare Limited,BLUEJET.NS,"['Fair valuation', 'High profitability']","['High debt risk', 'Declining revenues']",26.06404,20.3,0.32333001,1.643,-0.205,-1,SELL
Blue Star Limited,BLUESTARCO.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",66.16279,26.66,0.18671,33.084,0.064,-3,SELL
BlueStone Jewellery and Lifestyle Limited,BLUESTONE.NS,['Strong revenue growth'],"['PE data missing', 'ROE data missing', 'High debt risk']",,-10.88,,113.663,0.376,-1,SELL
Bluspring Enterprises Limited,BLUSPRING.NS,['Slow revenue growth'],"['PE data missing', 'ROE data missing', 'High debt risk']",,,,31.894,0.113,-1,SELL
BMW Ventures Limited,BMWVENTLTD.NS,"['Fair valuation', 'Slow revenue growth']","['ROE data missing', 'High debt risk']",15.494709,3.78,,107.33,0.062,-2,SELL
Bodal Chemicals Limited,BODALCHEM.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']",19.099644,2.81,0.03215,77.215,0.121,-2,SELL
Bohra Industries Limited,BOHRAIND.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Revenue growth data missing']",,-2.83,-0.05726,1.562,,-3,SELL
Bombay Dyeing & Mfg Company Limited,BOMDYEING.NS,"['Fair valuation', 'Low debt']","['Weak profitability', 'Declining revenues']",27.5414,4.71,0.04038,0.13,-0.047,-1,SELL
Borana Weaves Limited,BORANA.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']",33.478016,8.87,,17.66,0.349,-2,SELL
Borosil Limited,BOROLTD.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",39.00275,7.27,0.10786,9.413,0.243,-2,SELL
BOROSIL RENEWABLES LIMITED,BORORENEW.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-14.15,-0.22907,22.805,0.017,-3,SELL
Borosil Scientific Limited,BOROSCI.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",89.5303,1.32,0.029000001,2.192,0.042,-4,SELL
BOSCH HOME COMFORT INDIA LIMITED,BOSCH-HCIL.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",144.99025,10.26,0.052550003,37.841,0.022,-4,SELL
Bosch Limited,BOSCHLTD.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'Moderate debt level']",39.466587,908.49,0.20058,0.778,0.091,1,SELL
Bharat Petroleum Corporation Limited,BPCL.NS,"['Low valuation', 'High profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']",7.3656673,49.69,0.24822001,56.386,0.021,2,HOLD
BPL Limited,BPL.NS,[],"['PE data missing', 'ROE data missing', 'High debt risk', 'Declining revenues']",,-3.0,,47.01,-0.051,-3,SELL
Brigade Enterprises Limited,BRIGADE.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],26.611732,33.07,0.13221,75.557,0.29,-1,SELL
Brigade Hotel Ventures Limited,BRIGHOTEL.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']",75.03261,0.92,,37.098,0.164,-2,SELL
Britannia Industries Limited,BRITANNIA.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",62.52591,96.48,0.66230005,58.424,0.037,-1,SELL
Bharat Road Network Limited,BRNL.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']",0.9879249,22.36,0.44214,77.326,-0.776,1,SELL
Brooks Laboratories Limited,BROOKS.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],18.481798,4.67,0.15979,6.772,0.128,-1,SELL
BSE Limited,BSE.NS,"['High profitability', 'Low debt', 'Strong revenue growth']",['Stock may be overvalued'],60.840607,43.54,0.31448,0.0,0.394,2,HOLD
Bombay Super Hybrid Seeds Limited,BSHSL.NS,['High profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']",41.261192,2.68,0.26303,24.979,-0.048,-2,SELL
BSL Limited,BSL.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']",29.38131,5.35,0.04664,366.394,0.035,-3,SELL
BIRLASOFT LIMITED,BSOFT.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",27.131195,16.54,0.1328,4.089,-0.029,-3,SELL
Bodhi Tree Multimedia Limited,BTML.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],16.714285,0.49,0.1318,32.08,0.671,-1,SELL
Butterfly Gandhimathi Appliances Limited,BUTTERFLY.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],29.014917,22.79,0.1243,3.141,0.137,-1,SELL
Barak Valley Cements Limited,BVCL.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']",27.740965,1.66,0.02955,28.58,0.135,-2,SELL
The Byke Hospitality Ltd,BYKE.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",51.92,1.0,0.02335,45.915,0.202,-3,SELL
California Software Company Limited,CALSOFT.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",150.0,0.1,0.04764,2.377,0.444,-3,SELL
Camlin Fine Sciences Limited,CAMLINFINE.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']",19.282581,7.75,0.019550001,78.095,0.087,-3,SELL
Campus Activewear Limited,CAMPUS.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",64.5679,4.05,0.1665,48.005,0.16,-2,SELL
Computer Age Management Services Limited,CAMS.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",40.042778,18.7,0.40825,6.395,0.032,-1,SELL
Canara Bank,CANBK.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'Debt data missing']",6.353514,23.62,0.17573999,,0.125,3,HOLD
Can Fin Homes Limited,CANFINHOME.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']",13.366314,69.23,0.18129998,658.72,0.224,1,SELL
Canara HSBC Life Insurance Company Limited,CANHLIFE.NS,[],"['Stock may be overvalued', 'Weak profitability', 'Debt data missing', 'Declining revenues']",118.46875,1.28,0.0838,,-0.311,-3,SELL
Cantabil Retail India Limited,CANTABIL.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk'],27.216042,9.35,0.20895,126.45,0.164,1,SELL
Capacit'e Infraprojects Limited,CAPACITE.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']",10.825243,23.69,0.11857,23.09,0.247,1,SELL
Capillary Technologies India Limited,CAPILLARY.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']",214.02821,3.19,,16.8,0.251,-2,SELL
Capital Small Finance Bank Limited,CAPITALSFB.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'Debt data missing']",8.862646,29.85,0.10177,,0.063,2,HOLD
Caplin Point Laboratories Limited,CAPLIPOINT.NS,"['Fair valuation', 'High profitability', 'Low debt', 'Slow revenue growth']",[],24.806421,77.23,0.20658001,0.166,0.105,4,BUY
Capital Trust Limited,CAPTRUST.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Revenue growth data missing']",,-10.03,-0.35819998,134.274,,-3,SELL
Carborundum Universal Limited,CARBORUNIV.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",78.66419,10.78,0.05513,7.95,0.06,-4,SELL
CARE Ratings Limited,CARERATING.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",31.537857,50.85,0.19013001,2.913,0.162,-2,SELL
Carraro India Limited,CARRARO.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",30.392328,17.46,0.21754,37.201,0.331,0,SELL
Cartrade Tech Limited,CARTRADE.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",74.21407,37.09,0.086619996,5.247,0.254,-3,SELL
CARYSIL LIMITED,CARYSIL.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",30.698736,28.48,0.15262,42.1,0.162,-2,SELL
Castrol India Limited,CASTROLIND.NS,"['Fair valuation', 'Slow revenue growth']","['ROE data missing', 'High debt risk']",19.602837,9.87,,4.022,0.058,-2,SELL
Consolidated Construction Consortium Limited,CCCL.NS,"['Low valuation', 'High profitability', 'Low debt', 'Strong revenue growth']",['Stock appears undervalued'],7.3632655,2.45,0.60971,0.108,0.167,6,BUY
Country Club Hospitality & Holidays Limited,CCHHL.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']",29.745098,0.51,0.02674,7.499,0.981,-2,SELL
CCL Products (India) Limited,CCL.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",37.133858,25.4,0.17368001,77.989,0.527,-2,SELL
Central Depository Services (India) Limited,CDSL.NS,"['High profitability', 'Low debt']","['Stock may be overvalued', 'Declining revenues']",65.519226,22.63,0.28139,0.139,-0.048,1,SELL
CEAT Limited,CEATLTD.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",31.481966,122.54,0.11236,67.986,0.142,-2,SELL
Ceigall India Limited,CEIGALL.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],17.54963,14.81,0.1375,69.07,0.045,-2,SELL
Celebrity Fashions Limited,CELEBRITY.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-2.77,-1.04147,565.147,0.081,-3,SELL
Cello World Limited,CELLO.NS,"['Average profitability', 'Low debt', 'Strong revenue growth']",['Stock may be overvalued'],35.767197,15.12,0.1514,0.221,0.226,1,SELL
Cemindia Projects Limited,CEMPRO.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",30.78866,25.93,0.24184999,47.864,0.093,-1,SELL
Century Enka Limited,CENTENKA.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']",16.676636,26.75,0.04126,2.535,-0.238,-4,SELL
Century Extrusions Limited,CENTEXT.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],16.585938,1.28,0.12344,63.677,0.03,-2,SELL
Central Bank of India,CENTRALBK.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'Debt data missing']",7.143411,5.16,0.12716,,0.003,2,HOLD
Centrum Capital Limited,CENTRUM.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']",,-3.04,-0.088470004,307.801,-0.487,-4,SELL
Centum Electronics Limited,CENTUM.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",213.41441,11.51,0.03774,53.972,0.118,-3,SELL
Century Plyboards (India) Limited,CENTURYPLY.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",79.12919,10.45,0.09923001,66.141,0.171,-3,SELL
Cera Sanitaryware Limited,CERA.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",28.521883,181.65,0.1817,4.352,-0.009,-3,SELL
Cerebra Integrated Technologies Limited,CEREBRAINT.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']",,-3.55,-0.25035998,29.8,-0.819,-4,SELL
CESC Limited,CESC.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],15.255494,10.92,0.116730005,141.107,0.121,-1,SELL
Concord Enviro Systems Limited,CEWATER.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",17.811882,25.25,0.11833999,30.084,-0.229,-3,SELL
Capri Global Capital Limited,CGCL.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],21.818071,8.19,0.13415,251.55,0.59,-1,SELL
CG Power and Industrial Solutions Limited,CGPOWER.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",94.5245,6.94,0.18687999,1.519,0.211,-2,SELL
Chalet Hotels Limited,CHALET.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",32.761814,26.45,0.18569,72.88,0.95,-2,SELL
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT.NS,"['Low valuation', 'High profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']",10.182796,46.5,0.20681,1.022,0.475,3,HOLD
Chembond Material Technologies Limited,CHEMBOND.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']",15.132587,10.71,0.05311,3.705,-0.532,-4,SELL
Chembond Chemicals Limited,CHEMBONDCH.NS,['Low valuation'],"['Stock appears undervalued', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']",12.980834,12.0,,,,2,HOLD
Chemcon Speciality Chemicals Limited,CHEMCON.NS,"['Fair valuation', 'Low debt', 'Slow revenue growth']",['Weak profitability'],29.462555,6.81,0.04974,0.051,0.021,0,SELL
Chemfab Alkalis Limited,CHEMFAB.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']",,-4.75,-0.01767,28.847,-0.065,-4,SELL
Chemplast Sanmar Limited,CHEMPLASTS.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-13.66,-0.11826,96.728,0.041,-3,SELL
Chennai Petroleum Corporation Limited,CHENNPETRO.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']",10.545511,78.55,0.14144,21.902,0.351,1,SELL
Cheviot Company Limited,CHEVIOT.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']",11.255978,96.18,0.08522,1.473,0.441,0,SELL
Choice International Limited,CHOICEIN.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",90.1864,9.12,0.16600999,35.606,0.125,-2,SELL
Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",30.772018,55.18,0.19619,724.311,0.196,-2,SELL
Cholamandalam Financial Holdings Limited,CHOLAHLDNG.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],15.65232,118.73,0.18281001,635.38,0.168,-1,SELL
CIE Automotive India Limited,CIEINDIA.NS,"['Fair valuation', 'Slow revenue growth']","['ROE data missing', 'High debt risk']",18.62861,21.11,,7.022,0.111,-1,SELL
Capital India Finance Limited,CIFL.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",34.097343,1.13,0.05534,100.828,-0.211,-5,SELL
Cigniti Technologies Limited,CIGNITITEC.NS,"['Fair valuation', 'High profitability', 'Slow revenue growth']",['High debt risk'],15.934629,103.41,0.29424998,1.799,0.136,1,SELL
Cineline India Limited,CINELINE.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-2.65,-0.06365,71.321,0.11,-2,SELL
Cinevista Limited,CINEVISTA.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']",inf,0.0,,43.705,190.49,-2,SELL
Cipla Limited,CIPLA.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],22.367443,67.33,0.17676,1.415,0.07,-2,SELL
Clean Science and Technology Limited,CLEAN.NS,"['Average profitability', 'Low debt', 'Slow revenue growth']",['Stock may be overvalued'],35.290813,24.93,0.18962999,0.142,0.027,0,SELL
CL Educate Limited,CLEDUCATE.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-1.36,-0.026029998,103.966,0.665,-2,SELL
Chaman Lal Setia Exports Limited,CLSEL.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']",13.608029,18.93,0.13114001,8.804,-0.261,-1,SELL
CMS Info Systems Limited,CMSINFO.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",16.010218,21.53,0.16128999,9.543,-0.025,-3,SELL
Creative Newtech Limited,CNL.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk'],21.102942,35.36,0.20156999,36.852,0.587,1,SELL
Coal India Limited,COALINDIA.NS,"['Low valuation', 'High profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']",7.9444885,50.62,0.30576,12.976,0.185,3,HOLD
Coastal Corporation Limited,COASTCORP.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",56.95062,0.81,0.03869,153.742,0.032,-4,SELL
Cochin Shipyard Limited,COCHINSHIP.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']",57.24532,28.86,0.13844,20.291,-0.022,-4,SELL
Coffee Day Enterprises Limited,COFFEEDAY.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-1.31,-0.03892,38.774,0.038,-3,SELL
Coforge Limited,COFORGE.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",51.502,32.49,0.15033,10.888,0.302,-2,SELL
Cohance Lifesciences Limited,COHANCE.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",66.3395,8.1,0.05508,11.486,1.156,-3,SELL
Colgate Palmolive (India) Limited,COLPAL.NS,['High profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']",42.8009,48.77,0.8197,3.791,-0.062,-2,SELL
Compuage Infocom Limited,COMPINFO.NS,[],"['PE data missing', 'ROE data missing', 'High debt risk', 'Declining revenues']",,-43.7,,292.783,-0.698,-3,SELL
Compucom Software Limited,COMPUSOFT.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",40.0,0.41,0.022920001,32.821,-0.012,-5,SELL
Commercial Syn Bags Limited,COMSYN.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],23.417336,6.23,0.17233999,67.103,0.136,-1,SELL
Container Corporation of India Limited,CONCOR.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",30.267595,17.19,0.104329996,7.016,0.029,-3,SELL
Concord Biotech Limited,CONCORDBIO.NS,"['Average profitability', 'Low debt']","['Stock may be overvalued', 'Declining revenues']",43.421906,30.86,0.1893,0.088,-0.204,-1,SELL
Confidence Petroleum India Limited,CONFIPET.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']",13.510949,2.74,0.06578,55.384,0.318,0,SELL
Consolidated Finvest & Holdings Limited,CONSOFINVT.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'Weak profitability', 'Debt data missing']",8.240893,20.59,0.06781,,0.109,2,HOLD
Control Print Limited,CONTROLPR.NS,"['Low valuation', 'High profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']",10.817526,63.79,0.25372,1.652,0.1,2,HOLD
Coral India Finance & Housing Limited,CORALFINAC.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'Debt data missing', 'Declining revenues']",12.541795,3.23,0.058140002,,-0.402,0,SELL
Cords Cable Industries Limited,CORDSCABLE.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']",14.247462,12.81,0.091129996,57.801,0.234,0,SELL
Coromandel International Limited,COROMANDEL.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk'],28.94297,81.36,0.20782,11.599,0.299,1,SELL
CORONA Remedies Limited,CORONA.NS,['High profitability'],"['Stock may be overvalued', 'High debt risk', 'Revenue growth data missing']",55.95326,24.39,0.27501,21.421,,-1,SELL
COSMO FIRST LIMITED,COSMOFIRST.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']",11.984056,55.82,0.09851,110.979,0.211,0,SELL
Country Condo's Limited,COUNCODOS.NS,"['Low debt', 'Strong revenue growth']","['Stock may be overvalued', 'Weak profitability']",65.25,0.08,0.02333,0.046,0.17,0,SELL
CP Capital Limited,CPCAP.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",5.490719,21.01,0.0687,14.352,-0.372,-2,SELL
Career Point Edutech Limited,CPEDU.NS,['Fair valuation'],"['ROE data missing', 'Debt data missing', 'Revenue growth data missing']",21.535269,12.05,,,,0,SELL
Aditya Infotech Limited,CPPLUS.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']",89.23991,16.84,,8.041,0.375,-2,SELL
Craftsman Automation Limited,CRAFTSMAN.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",73.647705,100.2,0.082609996,109.273,0.649,-3,SELL
Canara Robeco Asset Management Company Limited,CRAMC.NS,['Slow revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']",30.580936,10.07,,2.748,0.033,-3,SELL
Creative Eye Limited,CREATIVEYE.NS,[],"['PE data missing', 'ROE data missing', 'High debt risk', 'Declining revenues']",,-0.42,,28.762,-0.016,-3,SELL
CREDITACCESS GRAMEEN LIMITED,CREDITACC.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",151.27098,8.34,0.01889,280.714,-0.083,-5,SELL
Crest Ventures Limited,CREST.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']",21.750278,17.94,0.04168,15.576,-0.167,-4,SELL
CRISIL Limited,CRISIL.NS,['Slow revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']",41.529984,102.55,,10.58,0.122,-2,SELL
