Company,Ticker,Strengths,Risks
Centum Electronics Limited,CENTUM.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Century Plyboards (India) Limited,CENTURYPLY.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Cera Sanitaryware Limited,CERA.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Cerebra Integrated Technologies Limited,CEREBRAINT.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
CESC Limited,CESC.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Concord Enviro Systems Limited,CEWATER.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Capri Global Capital Limited,CGCL.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
CG Power and Industrial Solutions Limited,CGPOWER.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Chalet Hotels Limited,CHALET.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT.NS,"['Low valuation', 'High profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
Chembond Material Technologies Limited,CHEMBOND.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']"
Chembond Chemicals Limited,CHEMBONDCH.NS,['Low valuation'],"['Stock appears undervalued', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']"
Chemcon Speciality Chemicals Limited,CHEMCON.NS,"['Fair valuation', 'Low debt', 'Slow revenue growth']",['Weak profitability']
Chemfab Alkalis Limited,CHEMFAB.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Chemplast Sanmar Limited,CHEMPLASTS.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Chennai Petroleum Corporation Limited,CHENNPETRO.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
Cheviot Company Limited,CHEVIOT.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Choice International Limited,CHOICEIN.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Cholamandalam Financial Holdings Limited,CHOLAHLDNG.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
CIE Automotive India Limited,CIEINDIA.NS,"['Fair valuation', 'Slow revenue growth']","['ROE data missing', 'High debt risk']"
Capital India Finance Limited,CIFL.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Cigniti Technologies Limited,CIGNITITEC.NS,"['Fair valuation', 'High profitability', 'Slow revenue growth']",['High debt risk']
Cineline India Limited,CINELINE.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Cinevista Limited,CINEVISTA.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Cipla Limited,CIPLA.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Clean Science and Technology Limited,CLEAN.NS,"['Average profitability', 'Low debt', 'Slow revenue growth']",['Stock may be overvalued']
CL Educate Limited,CLEDUCATE.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Chaman Lal Setia Exports Limited,CLSEL.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
CMS Info Systems Limited,CMSINFO.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Creative Newtech Limited,CNL.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk']
Coal India Limited,COALINDIA.NS,"['Low valuation', 'High profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
Coastal Corporation Limited,COASTCORP.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Cochin Shipyard Limited,COCHINSHIP.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
Coffee Day Enterprises Limited,COFFEEDAY.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Coforge Limited,COFORGE.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Cohance Lifesciences Limited,COHANCE.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Colgate Palmolive (India) Limited,COLPAL.NS,['High profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
Compuage Infocom Limited,COMPINFO.NS,[],"['PE data missing', 'ROE data missing', 'High debt risk', 'Declining revenues']"
Compucom Software Limited,COMPUSOFT.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Commercial Syn Bags Limited,COMSYN.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Container Corporation of India Limited,CONCOR.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Concord Biotech Limited,CONCORDBIO.NS,"['Average profitability', 'Low debt']","['Stock may be overvalued', 'Declining revenues']"
Confidence Petroleum India Limited,CONFIPET.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Consolidated Finvest & Holdings Limited,CONSOFINVT.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'Weak profitability', 'Debt data missing']"
Control Print Limited,CONTROLPR.NS,"['Low valuation', 'High profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
Coral India Finance & Housing Limited,CORALFINAC.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'Debt data missing', 'Declining revenues']"
Cords Cable Industries Limited,CORDSCABLE.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Coromandel International Limited,COROMANDEL.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk']
CORONA Remedies Limited,CORONA.NS,['High profitability'],"['Stock may be overvalued', 'High debt risk', 'Revenue growth data missing']"
COSMO FIRST LIMITED,COSMOFIRST.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Country Condo's Limited,COUNCODOS.NS,"['Low debt', 'Strong revenue growth']","['Stock may be overvalued', 'Weak profitability']"
CP Capital Limited,CPCAP.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Career Point Edutech Limited,CPEDU.NS,['Fair valuation'],"['ROE data missing', 'Debt data missing', 'Revenue growth data missing']"
Aditya Infotech Limited,CPPLUS.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Craftsman Automation Limited,CRAFTSMAN.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Canara Robeco Asset Management Company Limited,CRAMC.NS,['Slow revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Creative Eye Limited,CREATIVEYE.NS,[],"['PE data missing', 'ROE data missing', 'High debt risk', 'Declining revenues']"
CREDITACCESS GRAMEEN LIMITED,CREDITACC.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Crest Ventures Limited,CREST.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']"
CRISIL Limited,CRISIL.NS,['Slow revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Crizac Limited,CRIZAC.NS,"['Fair valuation', 'High profitability', 'Low debt', 'Strong revenue growth']",[]
Crompton Greaves Consumer Electricals Limited,CROMPTON.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Crown Lifters Limited,CROWN.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
CSB Bank Limited,CSBBANK.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'Debt data missing']"
CSL Finance Limited,CSLFINANCE.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
Cambridge Technology Enterprises Limited,CTE.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
City Union Bank Limited,CUB.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['Debt data missing']
Cubex Tubings Limited,CUBEXTUB.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']"
Cummins India Limited,CUMMINSIND.NS,"['High profitability', 'Low debt', 'Strong revenue growth']",['Stock may be overvalued']
Cupid Limited,CUPID.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Cura Technologies Limited,CURAA.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Revenue growth data missing']"
Cyber Media (India) Limited,CYBERMEDIA.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'Debt data missing']"
Cybertech Systems And Software Limited,CYBERTECH.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
Cyient Limited,CYIENT.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Cyient DLM Limited,CYIENTDLM.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Dabur India Limited,DABUR.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Dalmia Bharat Limited,DALBHARAT.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Dalmia Bharat Sugar and Industries Limited,DALMIASUG.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
Dam Capital Advisors Limited,DAMCAPITAL.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'ROE data missing', 'High debt risk']"
Damodar Industries Limited,DAMODARIND.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Dangee Dums Limited,DANGEE.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Datamatics Global Services Limited,DATAMATICS.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Data Patterns (India) Limited,DATAPATTNS.NS,"['Average profitability', 'Low debt', 'Strong revenue growth']",['Stock may be overvalued']
Davangere Sugar Company Limited,DAVANGERE.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']"
D.B.Corp Limited,DBCORP.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
Deepak Builders & Engineers India Limited,DBEIL.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
Dilip Buildcon Limited,DBL.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
Dhampur Bio Organics Limited,DBOL.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Valor Estate Limited,DBREALTY.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
DB (International) Stock Brokers Limited,DBSTOCKBRO.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']"
Dishman Carbogen Amcis Limited,DCAL.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']"
DCB Bank Limited,DCBBANK.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'Debt data missing']"
Dc Infotech And Communication Limited,DCI.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk']
DCM  Limited,DCM.NS,"['Low valuation', 'High profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
DCM Financial Services Limited,DCMFINSERV.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Declining revenues']"
DCM Nouvelle Limited,DCMNVL.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
DCM Shriram Limited,DCMSHRIRAM.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
DCM Shriram Industries Limited,DCMSRIND.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
DCW Limited,DCW.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
DCX Systems Limited,DCXINDIA.NS,['Low debt'],"['Stock may be overvalued', 'Weak profitability', 'Declining revenues']"
Ddev Plastiks Industries Limited,DDEVPLSTIK.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk']
Deccan Cements Limited,DECCANCE.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
DEE Development Engineers Limited,DEEDEV.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Deepak Nitrite Limited,DEEPAKNTR.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Deep Industries Limited,DEEPINDS.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Delhivery Limited,DELHIVERY.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
DELPHI WORLD MONEY LIMITED,DELPHIFX.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Delta Corp Limited,DELTACORP.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
Delta Manufacturing Limited,DELTAMAGNT.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Den Networks Limited,DEN.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'Moderate debt level', 'Declining revenues']"
De Nora India Limited,DENORA.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'Debt data missing']"
Denta Water and Infra Solutions Limited,DENTA.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'ROE data missing', 'High debt risk']"
Dev Information Technology Limited,DEVIT.NS,"['Low valuation', 'High profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
Dev Accelerator Limited,DEVX.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Devyani International Limited,DEVYANI.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Digicontent Limited,DGCONTENT.NS,"['Low valuation', 'High profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
Dhampur Sugar Mills Limited,DHAMPURSUG.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Dhanlaxmi Bank Limited,DHANBANK.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'Debt data missing', 'Declining revenues']"
Dhanuka Agritech Limited,DHANUKA.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
DHARAN INFRA-EPC LIMITED,DHARAN.NS,[],"['PE data missing', 'ROE data missing', 'High debt risk', 'Declining revenues']"
Dharmaj Crop Guard Limited,DHARMAJ.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Dhruv Consultancy Services Limited,DHRUV.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Dhunseri Investments Limited,DHUNINV.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Diamond Power Infrastructure Limited,DIACABS.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'Debt data missing']"
Diamines & Chemicals Limited,DIAMINESQ.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Prataap Snacks Limited,DIAMONDYD.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
DIC India Limited,DICIND.NS,"['Fair valuation', 'Slow revenue growth']","['ROE data missing', 'Debt data missing']"
Diffusion Engineers Limited,DIFFNKG.NS,"['Fair valuation', 'Slow revenue growth']","['ROE data missing', 'High debt risk']"
Digidrive Distributors Limited,DIGIDRIVE.NS,"['Low valuation', 'Low debt', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability']"
DiGiSPICE Technologies Limited,DIGISPICE.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Digitide Solutions Limited,DIGITIDE.NS,['Slow revenue growth'],"['PE data missing', 'ROE data missing', 'High debt risk']"
Digjam Limited,DIGJAMLMTD.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Debock Industries Limited,DIL.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'Debt data missing', 'Declining revenues']"
Dish TV India Limited,DISHTV.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Declining revenues']"
Divgi Torqtransfer Systems Limited,DIVGIITTS.NS,"['Low debt', 'Strong revenue growth']","['Stock may be overvalued', 'Weak profitability']"
Divi's Laboratories Limited,DIVISLAB.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'Moderate debt level']"
Dixon Technologies (India) Limited,DIXON.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
DJ Mediaprint & Logistics Limited,DJML.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
DLF Limited,DLF.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
D-Link (India) Limited,DLINKINDIA.NS,"['Low valuation', 'High profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
Avenue Supermarts Limited,DMART.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
DMCC SPECIALITY CHEMICALS LIMITED,DMCC.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Diligent Media Corporation Limited,DNAMEDIA.NS,['Low valuation'],"['Stock appears undervalued', 'ROE data missing', 'Debt data missing', 'Declining revenues']"
Dodla Dairy Limited,DODLA.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Dolat Algotech Limited,DOLATALGO.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
Dollar Industries Limited,DOLLAR.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Dolphin Offshore Enterprises (India) Limited,DOLPHIN.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
DOMS Industries Limited,DOMS.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Donear Industries Limited,DONEAR.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
D. P. Abhushan Limited,DPABHUSHAN.NS,"['Fair valuation', 'High profitability']","['High debt risk', 'Declining revenues']"
DPSC Limited,DPSCLTD.NS,[],"['Stock may be overvalued', 'ROE data missing', 'High debt risk', 'Declining revenues']"
D P Wires Limited,DPWIRES.NS,['Fair valuation'],"['Weak profitability', 'Moderate debt level', 'Declining revenues']"
DRC Systems India Limited,DRCSYSTEMS.NS,"['Low valuation', 'High profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
Dreamfolks Services Limited,DREAMFOLKS.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
Dredging Corporation of India Limited,DREDGECORP.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Dr. Reddy's Laboratories Limited,DRREDDY.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Dynacons Systems & Solutions Limited,DSSL.NS,"['Fair valuation', 'High profitability', 'Slow revenue growth']",['High debt risk']
Dhunseri Tea & Industries Limited,DTIL.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Ducon Infratechnologies Limited,DUCON.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Dhunseri Ventures Limited,DVL.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']"
Dwarikesh Sugar Industries Limited,DWARKESH.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Dynamic Cables Limited,DYCL.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk']
Dynamatic Technologies Limited,DYNAMATECH.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Dynemic Products Limited,DYNPRO.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']"
E2E Networks Limited,E2E.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Easy Trip Planners Limited,EASEMYTRIP.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
GNG Electronics Limited,EBGNG.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
eClerx Services Limited,ECLERX.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Ecos (India) Mobility & Hospitality Limited,ECOSMOBLTY.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk']
Edelweiss Financial Services Limited,EDELWEISS.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']"
EFC (I) Limited,EFCIL.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Eicher Motors Limited,EICHERMOT.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
EID Parry India Limited,EIDPARRY.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Enviro Infra Engineers Limited,EIEL.NS,"['Fair valuation', 'High profitability', 'Slow revenue growth']",['High debt risk']
Euro India Fresh Foods Limited,EIFFL.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
EIH Associated Hotels Limited,EIHAHOTELS.NS,"['Fair valuation', 'Average profitability']","['Moderate debt level', 'Declining revenues']"
EIH Limited,EIHOTEL.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
Eimco Elecon (India) Limited,EIMCOELECO.NS,"['Fair valuation', 'Low debt']","['Weak profitability', 'Declining revenues']"
Everest Kanto Cylinder Limited,EKC.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Eldeco Housing And Industries Limited,ELDEHSG.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Elecon Engineering Company Limited,ELECON.NS,"['Fair valuation', 'High profitability', 'Slow revenue growth']",['High debt risk']
Electrosteel Castings Limited,ELECTCAST.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Electrotherm (India) Limited,ELECTHERM.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'ROE data missing', 'Debt data missing']"
Elgi Equipments Limited,ELGIEQUIP.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Elgi Rubber Company Limited,ELGIRUBCO.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Elin Electronics Limited,ELIN.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']"
Ellenbarrie Industrial Gases Limited,ELLEN.NS,[],"['PE data missing', 'ROE data missing', 'High debt risk', 'Declining revenues']"
Emami Limited,EMAMILTD.NS,"['Fair valuation', 'High profitability']","['High debt risk', 'Declining revenues']"
Emami Paper Mills Limited,EMAMIPAP.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Emami Realty Limited,EMAMIREAL.NS,['Strong revenue growth'],"['PE data missing', 'ROE data missing', 'Debt data missing']"
Embassy Developments Limited,EMBDL.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']"
Emcure Pharmaceuticals Limited,EMCURE.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Electronics Mart India Limited,EMIL.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Emkay Global Financial Services Limited,EMKAY.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Emmbi Industries Limited,EMMBI.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']"
Emmvee Photovoltaic Power Limited,EMMVEE.NS,"['Fair valuation', 'Strong revenue growth']","['ROE data missing', 'High debt risk']"
EMS Limited,EMSLIMITED.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
eMudhra Limited,EMUDHRA.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Endurance Technologies Limited,ENDURANCE.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Energy Development Company Limited,ENERGYDEV.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Engineers India Limited,ENGINERSIN.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['Moderate debt level']
Entertainment Network (India) Limited,ENIL.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Siemens Energy India Limited,ENRIN.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Entero Healthcare Solutions Limited,ENTERO.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
EPACK Durable Limited,EPACK.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
EPack Prefab Technologies Limited,EPACKPEB.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Epigral Limited,EPIGRAL.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
EPL Limited,EPL.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Equippp Social Impact Technologies Limited,EQUIPPP.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Equitas Small Finance Bank Limited,EQUITASBNK.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Eris Lifesciences Limited,ERIS.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Esab India Limited,ESABINDIA.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'Moderate debt level']"
ESAF Small Finance Bank Limited,ESAFSFB.NS,[],"['PE data missing', 'Weak profitability', 'Debt data missing', 'Declining revenues']"
Escorts Kubota Limited,ESCORTS.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'Moderate debt level']"
